service_name_en,service_name_fr,external_internal,service_type,service_description_en,service_description_fr,authority_en,authority_fr,program_name_en,program_name_fr,client_target_groups,cra_business_number,e_registration,e_authentication,e_application,e_decision,e_issuance,e_feedback,owner_org,fiscal_yr,service_id_number,special_designations,service_url_en,service_url_fr,program_id_code,service_fee,use_of_sin,online_applications,web_visits_info_service,calls_received,in_person_applications,email_applications,fax_applications,postal_mail_applications,client_feedback,special_remarks_en,Org Name,Service_Unique_Identifier,New_Service_ID,Edited_Service_Name_EN,Edited_Service_Name_FR
Federal Mediation and Conciliation Service (FMCS) - Relationship Development Program,Service fédéral de médiation et de conciliation (SFMC) – Programme de développement relationnel,EX,REG,"The FMCS relationship development services are offered to employers and unionized employees with the intention of preventing disputes before they occur. This may involve training workshops on collective bargaining and joint conflict resolution as well as grievance mediation services to resolve disagreements and improve industrial relations.
Notes on Volumes:
In-person: 252 relationship development interventions and 5 public workshops on Labour Relations and Negotiation Cycle
Note on Estimated % of the service completed online:
0% should read as N/A. Requested services from federally-mediated employers and associated unions are actioned once received. Therefore there is no formal application process, requiring these steps.","Les services de développement relationnel du Service fédéral de médiation et de conciliation sont offerts aux employeurs et aux employés syndiqués; ils visent à prévenir les conflits avant qu'ils ne se produisent. Les services offerts comprennent des ateliers de formation sur la négociation collective et la résolution conjointe de conflits ainsi que des services de médiation de grief pour résoudre les désaccords et améliorer les relations industrielles.
Notes sur les volumes:
En personne : 252 interventions de développement relationnel et 5 ateliers publics sur les relations de travail et le cycle de négociation
Note sur le % estimé du service complété en ligne: 
0% devrait lire NA. Les demandes de services provenant d'employeurs assujettis à la réglementation fédérale et de syndicats associés sont traitées dès qu'elles sont reçues. Par conséquent, il n'y a aucun processus de demande officiel, il n'y a que ces étapes à suivre.","Canada Labour Code (Part I), Status of the Artist Act","Code canadien du travail (partie I), Loi sur le statut de l’artiste",Labour (Labour Relations),Travail (Relations de travail),"ES,FE,IG,PP,PTC",N,NA,NA,NA,NA,NA,NA,esdc-edsc,2016-2017,27,2,,,2.1.1,N,,0,,0,257,,,0,,,Employment and Social Development Canada | Emploi et Développement social Canada,2016-2017-esdc-edsc-27,esdc-edsc - 27,esdc-edsc - Federal Mediation and Conciliation Service (FMCS) - Relationship Development Program,
Federal Mediation and Conciliation Service (FMCS) – Arbitration Appointments,Service fédéral de médiation et de conciliation (SFMC) –  Nominations pour l’arbitrage,EX,REG,"The FMCS arbitration appointment services coordinates the appointment of arbitrators, adjudicators and referees to resolve certain types of disputes, such as grievances, unjust dismissal complaints, wage recovery appeals and appeals under the Wage Eearner Protection Program Act.
Notes on Volumes:
Mail: 84 grievance arbitration were made in 2016-2017 and 484 appointments under Part III and Wage Earner Protection Program. 
Note on Estimated % of the service completed online:
0% should read as N/A. Requested services from federally-mediated employers and associated unions are actioned once received. Therefore there is no formal application process, requiring these steps. (In the case of appointments for unjust dismissal or wage recovery (Part III of the Code) FMCS receives the documentation from the Labour standards group requesting the Minister (of Labour) to appoint an arbitrator, so no applications from external parties are being made in this case.)","Les services de nomination pour l'arbitrage du Service fédéral de médiation et de conciliation coordonnent la nomination d'arbitres de différends, d'arbitres de griefs et d'arbitres pour traiter certains types de différends tels que des griefs, des plaintes pour congédiement injuste, des appels de recouvrement du salaire et des appels au titre de la Loi sur le Programme de protection des salariés.
Notes sur les volumes:
Par la poste : 84 arbitrages de griefs ont été effectués en 2016-2017 et 484 nominations en vertu de la partie III et du Programme de protection des salariés. 
Note sur le % estimé du service complété en ligne: 
0% devrait lire NA. Les demandes de services provenant d'employeurs assujettis à la réglementation fédérale et de syndicats associés sont traitées dès qu'elles sont reçues. Par conséquent, il n'y a aucun processus de demande officiel, il n'y a que ces étapes à suivre. (Dans le cas d'une nomination pour un congédiement injuste ou d'un recouvrement de salaire (partie III du Code), le Service fédéral de médiation et de conciliation reçoit les documents de la part du groupe des normes du travail qui exige que la ministre (du Travail) nomme un arbitre. Dans ce cas, aucune demande de parties externes n'est effectuée.)","Canada Labour Code (Part I and III), Wage Earner Protection Program Act, Status of the Artist Act","Code canadien du travail (partie I et III), Loi sur le Programme de protection des salariés, Loi sur le statut de l’artiste",Labour (Labour Relations),Travail (Relations de travail),"ES,FE,IG,PP,PTC",N,NA,NA,NA,NA,NA,NA,esdc-edsc,2016-2017,28,2,,,2.1.1,N,,0,,0,0,,,568,,,Employment and Social Development Canada | Emploi et Développement social Canada,2016-2017-esdc-edsc-28,esdc-edsc - 28,esdc-edsc - Federal Mediation and Conciliation Service (FMCS) – Arbitration Appointments,
Occupational Health and Safety Tribunal Canada,Tribunal de santé et sécurité  au  travail Canada,EX,REG,"The Occupational Health and Safety Tribunal Canada receives, hears and decides on appeals of decisions of absence of danger and directions regarding occupational health and safety issued pursuant to the Canada Labour Code.
Notes on Volumes:
Volumes represent methods of receiving appeals","Le Tribunal de santé et sécurité au travail Canada reçoit, entend et tranche les appels de décisions relatives à l'absence de danger ainsi que les instructions en matière de santé et sécurité au travail délivrées en vertu du Code canadien du travail.
Notes sur les volumes:
Les volumes représentent des méthodes de réception d'appels","Canada Labour Code, Part II","Code canadien du travail, partie II",Labour,Travail,"ES,PP",N,N,N,N,N,N,N,esdc-edsc,2016-2017,29,8,,,2.1.2.1,N,,22,,0,1,,,0,,,Employment and Social Development Canada | Emploi et Développement social Canada,2016-2017-esdc-edsc-29,esdc-edsc - 29,esdc-edsc - Occupational Health and Safety Tribunal Canada,
Workplace Information,Information sur le milieu de travail,EX,RES,"Workplace Information provides information and analysis on collective bargaining, work stoppages, and labour organizations (unions) to various external and internal users by responding to information requests received by phone, email and online.  
Notes on Volumes:
Number of client service requests received",Nombre de demandes de service de clients reçues,Canada Labour Code,Code canadien du travail,Labour (Labour Relations),Travail (Relations de travail),"ES,PP",N,NA,NA,Y,NA,NA,Y,esdc-edsc,2016-2017,30,8,,,2.1.1.2,N,,115,,298,2,,,0,,,Employment and Social Development Canada | Emploi et Développement social Canada,2016-2017-esdc-edsc-30,esdc-edsc - 30,esdc-edsc - Workplace Information Services,
Administration of Gs&Cs for Labour Program,Administration des S et C du Programme du travail,EX,RES,"The Labour Funding Program (LFP) provides financial assistance to eligible organizations for a variety of projects and activities linked to labour relations, workplace health and safety, workplace equity and international labour affairs.
Notes on Volumes:
Online: emails received
Note on Estimated % of the service completed online:
0% should read as N/A. Very low volume of applications that does not warrant e-enabling process. Applications submitted by regular email. No personal information collected","Le Programme de financement du travail (PFT) fournit une aide financière aux organismes admissibles pour une variété de projets et d'activités liés aux relations de travail, à la santé et la sécurité au travail, à l'équité en milieu de travail et aux affaires internationales du travail.
Notes sur les volumes:
En ligne : courriels reçus
Note sur le % estimé du service complété en ligne: 
0% devrait lire NA. Un très faible volume de demandes qui ne cautionnent pas le processus de prise en charge électronique. Les demandes sont envoyées par courriel régulier. Aucune information personnelle n'est recueillie.",Treasury Board Submission # 836325,Présentation au Conseil du Trésor no 836325,Labour Funding Program,Programme de financement du travail,"ES,FE,IO",Y,NA,NA,NA,NA,NA,NA,esdc-edsc,2016-2017,31,8,,,"2.1.3.2 & 
3.1.4",N,,4,,0,0,,,0,,,Employment and Social Development Canada | Emploi et Développement social Canada,2016-2017-esdc-edsc-31,esdc-edsc - 31,esdc-edsc - Administration of Gs&Cs for Labour Program,
Federal Workers Compensation Service (FWCS) - Government Employees' Compensation Act (GECA),Service fédéral d’indemnisation des accidentés du travail (SFIAT) – Loi sur l’indemnisation des agents de l’État,EX,RES,"The Labour Program is responsible for the administration of the GECA, which provides compensation benefits for federal employees injured in the course of their work. The adjudication of claims under GECA is currently provided through an administrative agreement with each provincial Workers Compensation Board (WCB).
Notes on Volumes:
Volumes represent employer reports of injury for each injury at work of a federal public servant
Online: Email enquiries
Telephone: Phone calls/enquiries
Mail: Approximately 75,000 additional pieces of transactional mail related to ongoing claims","Le Programme du travail est chargé de l'administration de la LIAE, qui verse des prestations d'indemnité aux employés du gouvernement fédéral dans le cadre de leur emploi. Le règlement des demandes au titre de la LIAE s'effectue actuellement au moyen d'une entente administrative avec chaque commission provinciale des accidents du travail.
Notes sur les volumes:
Les volumes représentent les avis de lésion ou de maladie présentés par l'employeur pour chaque accident de travail d'un fonctionnaire fédéral
En ligne : Demandes de renseignements par courriel
Par téléphone : Appels téléphoniques/demandes de renseignements
Par la poste : Environ 75 000 documents transactionnels supplémentaires liés à des demandes en cours",Government Employees' Compensation Act (GECA),Loi sur l’indemnisation des agents de l’État (LIAE),Labour (Workplace Health and Safety),Travail (Santé et sécurité au travail),"IG,PP",NA,N,N,N,N,N,N,esdc-edsc,2016-2017,32,8,,,2.1.2.2,N,,3300,,4320,0,,,26000,,,Employment and Social Development Canada | Emploi et Développement social Canada,2016-2017-esdc-edsc-32,esdc-edsc - 32,esdc-edsc - Federal Workers Compensation Service (FWCS),
Federal Workers Compensation Service (FWCS) -  Administration of the Public Service Income Benefit Plan (PSIBP) for Survivors of Employees Slain on Duty,Service fédéral d’indemnisation des accidentés du travail (SFIAT) – Administration du Régime de prestations de revenu versées aux survivants des employés de la fonction publique tués dans l’exercice de leurs fonctions,EX,RES,"The PSIBP for the survivors of employees slain on duty provides an income guarantee to the spouse and children of employees whose death was caused by an act of violence unlawfully committed by another person or persons, occurring in the course of or arising out of the performance by the employees of their duties.",Le Régime de prestations de revenu pour des employés de la fonction publique tués dans l’exercice de leurs fonctions offre un revenu garanti au conjoint et aux enfants d'un employé décédé en raison d'un acte de violence illégal commis par une ou plusieurs autres personnes dans le cadre de l'exercice de ses fonctions.,Government Employees' Compensation Act (GECA),Loi sur l’indemnisation des agents de l’État (LIAE),Labour (Workplace Health and Safety),Travail (Santé et sécurité au travail),PP,NA,NA,N,N,N,N,N,esdc-edsc,2016-2017,33,8,,,2.1.2.2,N,,0,,0,0,,,0,,,Employment and Social Development Canada | Emploi et Développement social Canada,2016-2017-esdc-edsc-33,esdc-edsc - 33,esdc-edsc - Federal Workers Compensation Service (FWCS) -  Administration of the Public Service Income Benefit Plan (PSIBP) for Survivors of Employees Slain on Duty,
Merchant Seamen Compensation Act (MServCanA),Loi sur l’indemnisation des marins marchands (Mon dossier Service Canada),EX,RES,"(MServCanA) provides compensation benefits to merchant seamen engaged in a foreign voyage or home-trade voyage, not otherwise covered under a federal or provincial workers' compensation statute.",La Loi sur l’indemnisation des marins marchands (Mon dossier Service Canada) fournit des prestations d'indemnité aux marins marchands mobilisés dans le cadre d'un voyage à l'étranger ou d'un voyage de cabotage et qui se sont pas couverts par une autre loi fédérale ou provinciale d’indemnisation des travailleurs.,Merchant Seamen Compensation Act,Loi sur l’indemnisation des marins marchands,Labour (Workplace Health and Safety),Travail (Santé et sécurité au travail),"ES,PP",N,NA,N,Y,N,N,N,esdc-edsc,2016-2017,34,8,,,2.1.2.2,N,,0,,0,0,,,0,,,Employment and Social Development Canada | Emploi et Développement social Canada,2016-2017-esdc-edsc-34,esdc-edsc - 34,esdc-edsc - Merchant Seamen Compensation Act (MServCanA),
Administration of the Corrections and Conditional Release Regulations,Application du Règlement sur le système correctionnel et la mise en liberté sous condition,IN,HR,"If a claim is admitted by CSC, FWCS will examine the claim, make an assessment if the claimant has a disability and if so, FWCS will determine the degree of permanency of the disability in accordance with the disability rating schedule and policies in place at the time the disability is assessed. Once FWCS has assessed and evaluated the injury, FWCS will send all the information it obtained concerning the claim along with a report of its assessment to CSC for their review and final decision.","Dans le cas où le prestataire a une invalidité, le Service fédéral d’indemnisation des accidentés du travail détermine le degré de permanence de l'invalidité conformément à la fiche d'évaluation des invalidités et aux politiques en place au moment de l'évaluation de l'invalidité. Une fois que le Service s évalué la blessure, il envoit  toute l’information recueillie sur la réclamation et un rapport de son évaluation au SCC aux fins d’examen et de prise de décision finale.",Corrrection and Conditional Release Regulation,Règlement sur le système correctionnel et la mise en liberté sous condition,Federal Workers' Compensation Program,Programme fédéral d’indemnisation des accidentés du travail,IG,NA,NA,N,N,N,N,N,esdc-edsc,2016-2017,35,8,,,2.1.2.2,N,,0,,0,0,,,0,,,Employment and Social Development Canada | Emploi et Développement social Canada,2016-2017-esdc-edsc-35,esdc-edsc - 35,esdc-edsc - Administration of the Corrections and Conditional Release Regulations,
Legislated Employment Equity Program (LEEP),Programme légiféré d’équité en matière d’emploi,EX,REG,"This service helps employers being regulated ensure that they are compliant with the Employment Equity Act, and it helps the four designated employment equity groups (women, Aboriginal peoples, persons with disabilities and members of visible minorities) ensure that they are fairly represented in the workplace. 
Notes on Volumes:
Online: Number of annual reports received from employers online or through email. We do not receive reports by any other means.","Ce service aide les employeurs sous réglementation fédérale à s'assurer de leur conformité à la Loi sur l'équité en matière d'emploi, et il aide les quatre groupes visés par l’équité en matière d’emploi (femmes, Autochtones, personnes handicapées et membres d’un groupe de minorité visible) à veiller à ce qu'ils soient correctement représentés dans le milieu de travail.
Notes sur les volumes:
En ligne : Nombre de rapports annuels d'employeurs reçus en ligne ou par courriel. Nous ne recevons pas de rapport par d'autres modes de prestation de services.",Employment Equity Act,Loi sur l’équité en matière d’emploi,"Labour
(Workplace Equity)",Travail  (Équité en milieu de travail),"ES,PP",N,Y,N,Y,Y,Y,Y,esdc-edsc,2016-2017,36,8,,,2.1.3.2,N,,486,,0,0,,,0,,,Employment and Social Development Canada | Emploi et Développement social Canada,2016-2017-esdc-edsc-36,esdc-edsc - 36,esdc-edsc - Legislated Employment Equity Program (LEEP),
Federal Contractors Program (FCP),Programme de contrats fédéraux,EX,REG,"This service helps employers who are awarded federal government contracts ensure that they are compliant with Treasury Board’s Contracting Policy, and it helps the four designated employment equity groups (women, Aboriginal peoples, persons with disabilities and members of visible minorities) ensure that they are fairly represented in the workplace. 
Notes on Volumes:
Online: Number of annual reports received from employers online or through email. We do not receive reports by any other means.","Ce service aide les employeurs qui se sont vu octroyer des contrats du gouvernement fédéral à s'assurer de leur conformité à la Politique sur les marchés du Conseil du Trésor, et il aide les quatre groupes visés par l’équité en matière d’emploi (femmes, Autochtones, personnes handicapées et membres d’un groupe de minorité visible) à s'assurer qu'ils soient correctement représentés dans le milieu de travail.
Notes sur les volumes:
En ligne : Nombre de rapports annuels d'employeurs reçus en ligne ou par courriel. Nous ne recevons pas de rapport par d'autres modes de prestation de services.",Employment Equity Act                        Treasury Board Contracting Policy: Appendix D,Loi sur l’équité en matière d’emploi                        Politique du Conseil du Trésor sur les marchés : Annexe D,"Labour
(Workplace Equity)",Travail  (Équité en milieu de travail),"ES,PP",Y,Y,N,Y,Y,Y,Y,esdc-edsc,2016-2017,37,8,,,2.1.3.2,N,,280,,0,0,,,0,,,Employment and Social Development Canada | Emploi et Développement social Canada,2016-2017-esdc-edsc-37,esdc-edsc - 37,esdc-edsc - Federal Contractors Program (FCP),
Labour Standards,Normes du travail,EX,REG,"The Labour Standards program sets conditions of employment for employees and employers under federal jurisdiction. These standards include, but are not limited to, provisions on hours of work, minimum wages, vacation and general holidays, termination notice, severance pay, unjust dismissal and various types of leave.  Services provided include the treatment of monetary and non-monetary complaints as well as those related to genetic discrimination and unjust dismissal. For employers, services include treatment of requests for excess hours permits or waivers of group termination of employment provisions.
Notes on Volumes:
Telephone: Phone calls/enquiries","Le Programme des normes du travail établit les conditions d'emploi pour les employés et les employeurs sous réglementation fédérale. Ces normes incluent entre autres les dispositions sur les heures de travail, le salaire minimum, les vacances et les journées fériées, les avis de cessation d'emploi, l'indemnité de cessation d'emploi, les congédiements injustes et divers types de congés. Les services offerts comprennent le traitement des plaintes monétaires et non monétaires ainsi que des plaintes liées à la discrimination génétique et au congédiement injuste. Pour les employeurs, les services comprennent le traitement des demandes de dérogation pour dépassement du temps maximal de travail ou pour l'abolition des dispositions sur les mises à pied massives.
Notes sur les volumes:
Par téléphone : Appels téléphoniques/demandes de renseignements",Part III of the Canada Labour Code,Partie III du Code canadien du travail,"Labour 
(Labour Standards)",Travail (Normes du travail),"ES,PP",N,N,N,N,N,N,N,esdc-edsc,2016-2017,38,2,,,3.1.3.1,N,,0,,16277,48,,,4000,,,Employment and Social Development Canada | Emploi et Développement social Canada,2016-2017-esdc-edsc-38,esdc-edsc - 38,esdc-edsc - Labour Standards Compliance and Enforcement,
Canadian Occupational Projection System (COPS),Système de projection des professions au Canada (SPPC),EX,AD,"ESDC uses the models of the COPS and the National Occupational Classification (NOC, 2011 version) to develop projections of future trends in the numbers of job openings and job seekers by occupation at the national level. The projections allow for identifying those occupations that may face labour shortage or labour surplus conditions over the medium term. 
Notes on Volumes:
Online: In 2016-17, the COPS website had 58,000 unique visitors. Additional users have consulted COPS information via the Job Bank website, which had 28 million new visitors in 2016-17. 
Note on Estimated % of the service completed online:
0% should read as N/A. COPS website is only to provide labour market information; account registration is not required for this service
Users can ask questions or give comments via a generic Email address. Analysts of the COPS group answer questions and comments as soon as possible.","EDSC utilise les modèles du SPPC et de la Classification nationale des professions (CNP, version 2011) afin d'élaborer les prévisions des tendances à venir quant au nombre d'emplois disponibles et de chercheurs d'emploi par profession à l'échelle nationale. Les prévisions permettent de cerner les professions qui pourraient connaître une pénurie de main-d'oeuvre à court terme ou des surplus de main-d'oeuvre à moyen terme.
Notes sur les volumes:
En ligne : En 2016-2017, le site Web du SPPC a eu 58 000 visiteurs uniques. Les utilisateurs supplémentaires ont consulté l'information du SPPC au moyen du site Guichet-Emplois, qui a eu 28 millions de nouveaux visiteurs en 2016-2017. 
Note sur le % estimé du service complété en ligne: 
0% devrait lire NA. Le site Web du SPPC fournit uniquement de l'information sur le marché du travail; il n'est pas nécessaire de s'inscrire pour accéder à ce service. 
Les utilisateurs peuvent poser des questions ou formuler des commentaires en les envoyant à l'adresse courriel générique. Les analystes du groupe du SPPC répondent aux questions et aux commentaires le plus tôt possible.",Department of Employment and Social Development Act,Loi sur le ministère de l’Emploi et du Développement social,Canadian Occupational Projection System (COPS),Système de projections des professions au Canada (SPPC),"ES,FE,IG,IO,PP,PTC",NA,NA,NA,NA,NA,NA,NA,esdc-edsc,2016-2017,39,8,,,1.1.3,N,,58000,,0,0,,,0,,,Employment and Social Development Canada | Emploi et Développement social Canada,2016-2017-esdc-edsc-39,esdc-edsc - 39,esdc-edsc - Canadian Occupational Projection Information,
Canada Disability Savings Grant and Canada Disability Savings Bond,Subvention canadienne pour l’épargne-invalidité et Bon canadien pour l’épargne-invalidité,EX,AD,"This is a Tier 2 service (1-800 O-Canada is Tier 1) where individuals and organizations can inquire about the Canada Disability Savings Grant and/or Bond.
Notes on Volumes:
Online: Email correspondence","Il s'agit d'un service de deuxième pallier (le 1-800 O-Canada est un service de premier pallier) pour lequel les particuliers et les organisations peuvent demander des renseignements sur la Subvention canadienne pour l’épargne-invalidité ou le Bon canadien pour l’épargne-invalidité.
Notes sur les volumes:
En ligne : Correspondance par courriel",Canada Disability Savings Act and Canada Disability Savings Regulations,Loi canadienne sur l’épargne-invalidité et Règlement sur l’épargne-invalidité,Canada Disability Savings Program,Programme canadien pour l’épargne-invalidité,PP,NA,NA,NA,NA,NA,NA,Y,esdc-edsc,2016-2017,40,8,,,3.1.3.1 & 3.1.3.2,N,,652,,35517,0,,,52,,,Employment and Social Development Canada | Emploi et Développement social Canada,2016-2017-esdc-edsc-40,esdc-edsc - 40,esdc-edsc - Canada Disability Savings Grant and Canada Disability Savings Bond,
Merger review - Competition Law Enforcement,Examen des fusions - Application du droit de la concurrence,EX,REG,"Under the Competition Act, mergers of all sizes and in all sectors of the economy are subject to review by the Commissioner of Competition to determine whether they will likely result in a substantial lessening or prevention of competition. The Commissioner of Competition must be notified of all mergers that exceed certain size thresholds prior to completion. Failure to notify is a criminal offence.","En vertu de la Loi sur la concurrence, les fusions de toutes tailles et dans tous les secteurs de l'économie sont assujetties à l'examen du commissaire de la concurrence afin de déterminer si elles sont susceptibles de réduire ou d'empêcher sensiblement la concurrence. Le commissaire de la concurrence doit être avisé de toutes les fusions qui dépassent certains seuils de taille avant leur réalisation. Le défaut d'aviser constitue une infraction criminelle.",Part IX (Notifiable Transactions) of the Competition Act,Partie IX (Transactions devant faire l'objet d'un avis) de la Loi sur la concurrence,Competition Law Enforcement,Application du droit de la concurrence,ES,N,N,N,Y,Y,Y,Y,ic,2016-2017,1,8,,,1.2.1,Y,,216,,0,0,,,1,,,"Innovation, Science and Economic Development Canada | Innovation, Sciences et Développement économique Canada",2016-2017-ic-1,ic - 01,ic - Merger review - Competition Law Enforcement,
Information Centre - Law enforcement,Centre d'information - Application de la loi,EX,AD,The Information Centre is responsible for providing information on the laws under the Competition Bureau's jurisdiction and for capturing complaints that may lead to formal investigations.,Le Centre d'information est chargé de fournir de l'information sur les lois relevant de la compétence du Bureau de la concurrence et de recueillir les plaintes pouvant mener à des enquêtes officielles.,No legislation for this service,Pas de législation pour ce service,Competition Law Enforcement,Application du droit de la concurrence,PP,Y,NA,N,NA,NA,NA,Y,ic,2016-2017,2,8,,,1.2.1,N,,4554,,6389,0,,,146,,,"Innovation, Science and Economic Development Canada | Innovation, Sciences et Développement économique Canada",2016-2017-ic-2,ic - 02,ic - Information Centre - Law enforcement,
CA Identification Number Application and updates,Numéro d'identification CA Demande et mises à jour,EX,REG,"A CA Identification Number is issued by the Competition Bureau upon request. Only Canadian manufacturers, processors or finishers of a textile fibre product or Canadians engaged in the business of importing or selling any textile fibre product are allowed to register for a CA Identification Number. Such dealers are not required to have a CA Identification Number but they may use it in place of their name and address on the label of consumer textile articles.","Un numéro d'identification CA est émis par le Bureau de la concurrence sur demande. Seuls les fabricants, les transformateurs ou les finisseurs canadiens d'un produit de fibres textiles ou les Canadiens qui importent ou vendent des produits de fibres textiles sont autorisés à s'inscrire pour obtenir un numéro d'identification CA. Ces distributeurs ne sont pas tenus d'avoir un numéro d'identification CA, mais ils peuvent l'utiliser à la place de leur nom et de leur adresse sur l'étiquette des articles textiles de consommation.",The Textile Labelling Act and Textile Labelling and Advertising Regulations,Loi sur l’étiquetage des textiles et Règlement sur l'étiquetage et l'annonce des textiles,Competition Law Enforcement,Application du droit de la concurrence,ES,N,NA,N,Y,Y,Y,Y,ic,2016-2017,3,8,,,1.2.1,Y,,945,,0,0,,,24,,,"Innovation, Science and Economic Development Canada | Innovation, Sciences et Développement économique Canada",2016-2017-ic-3,ic - 03,ic - CA Identification Number Application,
Written Opinions,Opinions écrites,EX,AD,"The Commissioner has the discretion, on request from any person, to provide a binding written opinion on the applicability of one or more provisions of the Competition Act or regulations to a proposed practice or conduct. Written Opinions are binding on the Commissioner if all the material facts have been submitted, are accurate, and remain substantially unchanged. The Commissioner has the sole discretion to decline to issue a Written Opinion.","Le commissaire est habilité à produire, pour quiconque en fait la demande, un avis écrit contraignant sur l'applicabilité d'une ou de plusieurs dispositions de la Loi sur la concurrence ou des règlements à une pratique ou un comportement envisagés. Un avis écrit lie le commissaire dans la mesure où tous les faits importants lui ont été communiqués, sont exacts et ne font l'objet d'aucun changement important. Seul le commissaire est habilité à refuser de produire un avis écrit.",Section 124.1 of the Competition Act,Article 124.1 de la Loi sur la concurrence,Competition Law Enforcement,Application du droit de la concurrence,ES,N,NA,NA,Y,Y,NA,Y,ic,2016-2017,4,8,,,1.2.1,Y,,0,,0,0,,,19,,,"Innovation, Science and Economic Development Canada | Innovation, Sciences et Développement économique Canada",2016-2017-ic-4,ic - 04,ic - Written Opinions,
Grant patents rights,Délivrer des droits de brevets,EX,REG,Grant patent rights in accordance with the legislative IP framework,Délivrer les droits de brevet conformément au cadre législatif en matière de propriété intellectuelle.,Patent Act,Loi sur les brevets,Intellectual Property,Propriété intellectuelle,ES,N,Y,Y,Y,N,N,Y,ic,2016-2017,5,1,,,1.1.4,Y,,30783,,0,0,,,6514,,,"Innovation, Science and Economic Development Canada | Innovation, Sciences et Développement économique Canada",2016-2017-ic-5,ic - 05,ic - Grant patents rights,
Register trademark rights,Enregistrer les droits de marque,EX,REG,Register trademark rights in accordance with the IP legislative framework,Enregistrer les droits de marque conformément au cadre législatif sur la PI.,Trademarks Regulations,Règlement sur les marques de commerce,Intellectual Property,Propriété intellectuelle,ES,N,Y,Y,Y,N,N,Y,ic,2016-2017,6,1,,,1.1.4,Y,,54078,,0,0,,,1189,,,"Innovation, Science and Economic Development Canada | Innovation, Sciences et Développement économique Canada",2016-2017-ic-6,ic - 06,ic - Register trademark rights,
Register copyrights,Enregistrer les droits d'auteur,EX,REG,Register copyrights in accordance with the IP legislative framework,Enregistrer les droits d'auteur conformément au cadre législatif de la PI.,Copyright Act,Loi sur le droit d'auteur,Intellectual Property,Propriété intellectuelle,ES,N,Y,Y,Y,Y,N,Y,ic,2016-2017,7,1,,,1.1.4,Y,,8437,,0,0,,,313,,,"Innovation, Science and Economic Development Canada | Innovation, Sciences et Développement économique Canada",2016-2017-ic-7,ic - 07,ic - Register copyrights,
Register industrial designs,enregistrement d’un dessin industriel,EX,REG,Register industrial design rights in accordance with the IP legislative framework,Enregistrer les droits sur les dessins et modèles industriels conformément au cadre législatif en matière de propriété intellectuelle.,Industrial Design Act,Loi sur les dessins industriels,Intellectual Property,Propriété intellectuelle,ES,N,Y,Y,Y,Y,N,Y,ic,2016-2017,8,1,,,1.1.4,Y,,1752,,0,0,,,4389,,,"Innovation, Science and Economic Development Canada | Innovation, Sciences et Développement économique Canada",2016-2017-ic-8,ic - 08,ic - Register industrial designs,
Web Services Centre,Centre de services Web,EX,AD,"As part of its services, CMB provides corporate contact centre services to citizens and the international community in support of ISED programs and services advertised via www.ic.gc.ca and www.canada.ca.","Dans le cadre de ses services, la DGCM offre aux citoyens et à la communauté internationale des services de centres de contact d'entreprise à l'appui des programmes et des services ISDE annoncés par l'entremise des sites Web suivants: http://www.ic.gc.ca/eic/site/icgc.nsf/fra/accueil et https://www.canada.ca/fr.html",Policy on Communications and Federal Identity,Politique sur les communications et l'image de marque,Internal Services,Services internes,"ES,IO,PP",Y,NA,NA,NA,NA,NA,Y,ic,2016-2017,9,1,,,4.2,N,,9166,,20575,0,,,8,,,"Innovation, Science and Economic Development Canada | Innovation, Sciences et Développement économique Canada",2016-2017-ic-9,ic - 09,ic - Web Services Centre,
Automotive Supplier Innovation Program,Programme d'innovation pour les fournisseurs du secteur de l'automobile,EX,RES,"The Automotive Supplier Innovation Program helps Canadian automotive suppliers gain a competitive edge through new innovative products and processes. The program will help research and development projects to become commercially viable by supporting product development and technology demonstration on a cost-shared basis with participating firms. The Automotive Supplier Innovation Program is a complement existing initiatives supporting the automotive sector, such as the Automotive Innovation Fund, by strengthening Canada's parts supply base and creating a favourable environment for automotive research and development, while providing firms with new opportunities to enter global supply chains.","Le Programme d'innovation pour les fournisseurs du secteur de l'automobile aide les fournisseurs canadiens à acquérir un avantage concurrentiel grâce à de nouveaux produits et processus innovateurs. Le programme aidera les projets de recherche et de développement à devenir commercialement viables en appuyant le développement de produits et la démonstration de technologies sur une base de partage des coûts avec les entreprises participantes. Le Programme d'innovation pour les fournisseurs du secteur de l'automobile est un complément aux initiatives existantes qui appuient le secteur de l'automobile, comme le Fonds d'innovation pour le secteur de l'automobile, en renforçant la base d'approvisionnement en pièces au Canada et en créant un environnement favorable à la recherche et au développement dans le secteur de l'automobile, tout en offrant aux entreprises de nouvelles possibilités d'entrer dans les chaînes d'approvisionnement mondiales.",Department of Industry Act,Loi sur le ministère de l’Industrie,Automotive Innovation,Innovation automobile,ES,Y,N,N,Y,N,Y,N,ic,2016-2017,10,8,,,2.2.1,N,,62,,67,36,,,0,,,"Innovation, Science and Economic Development Canada | Innovation, Sciences et Développement économique Canada",2016-2017-ic-10,ic - 10,ic - Automative Supplier Innovation Program (ASIP),
